Date,Rating,Review,User name,UserLocation,AVG Rating
7/6/2017,3.0 star rating,"This place was  good. Want here for our last night on Maui with my partner and their parents. I had the seafood pasta, which was good. Just and FYI, it only had two prawns, 1/2 of a small lobster tail and a lot of fish that tasted like chicken. That's one of the reasons for the 3 stars...Thought it would have more of a variety of seafood. 

My partner and dad had the steak, they seem to enjoy it... I wish I would of have gotten that instead, it looked good. I had an opportunity to taste it and it was pretty good.  My partner's mom had the scallops. She had to send it back because it was too grainy. (The second reason for the 3 stars)The manager was kind though, they compensated us. 
I'd give this a 3&1/2 if Yelp would allow it...

Now for the drinks, the waitress recommended the lava flow or something of that sort. My partner we and her dad ordered a couple they couldn't tasted the alcohol, so they had to order a shot on the side...

Finally, the hula pie... it is a must have! Ask for a to-go container right away and put the 1/2 of your food and there because you are going to want to make room for it. They are huge... you can easily share one with four people. 

Overall, it was a pretty good place. I'd give it another try... with another dish....maybe the steak..",Caren F.,"Sacramento, CA",4.0 star rating
8/15/2017,4.0 star rating,"Came to Leilani's to have a late night snack.  I had been eating all day because of all the delicious food around, and sat here so my gf could have dinner.  We shared a chicken plate and they and split it and portioned it out as if it were really two meals!  They even customized my cocktail, a Hawaiian Plantation Tea.  Great spot and hope to be back soon.",Paul G.,"Santa Ana, CA",4.0 star rating
8/14/2017,4.0 star rating,"Located inside a mall, but it's right by the beach, looking over the ocean. Don't forget to validate your parking ticket. 
Service is great. Staff was attentive. 
Food: - fish tacos: just ok
- kale salad with Monchong fish: pretty good 
- catch of the day: pretty good 
- Hula pie: vanilla ice cream with hot fudge
- Lilikoi pie: not too sweet, good flavor, honey drizzled 
Wait for sunset!! Perfect viewing spot",Nadia B.,"Newbury Park, CA",4.0 star rating
9/24/2017,5.0 star rating,"This is probably one of my top 3 restaurants in Maui. It is very popular, so it's hard to get a good table with a view, but we are never disappointed every time we come here. The food, the service, the ambiance are all there, and it is a good bonus if we get a good table during sunset.",Ralph J.,"Altadena, CA",4.0 star rating
5/17/2017,3.0 star rating,"The views from the oceanside table are amazing, but the food is sub par. Drinks were OK. We started with the crab cakes which were mediocre. For the mains we had the parmesan crusted Mahi Mahi which was bad. The fish was OK but the greens were bland and the mash had lumps of potato in the them along with potato skins and was extremely salty. We had the hula pie for dessert which was good and earned the stars for this review. 
The servers were good and friendly and were apologetic for the food quality. They offered alternatives, but I'd lost my appetite by then. 
This place seems like a tourist trap, would recommend going down to Lahaina to have a much better meal at any place there.",Leon L.,"Redwood City, CA",4.0 star rating
9/11/2017,5.0 star rating,"We came here for dinner around 7pm got in within 15-20mins. The service is great he had full on conversation with us even though his section was pretty busy. 
Food: my boyfriend got the sesame seed crusted lightly sear ahi tuna and I highly suggest it! So much flavor, it was perfectly cooked! And had the distinctive ahi taste. I on the other had got the flat iron medium rare steak. It came with green beans and carrots with a side of bacon mashed potatoes. The steak was juicy and very flavorful! No need for any A1 sauce!",Vivian T.,"Seattle, WA",4.0 star rating
9/26/2017,1.0 star rating,We had lunch and everything was so so. I have to have gluten free and I had a gluten free salad nothing was very special on the menu nothing stood out by my stomach hurt afterwards. The salad lettuce was kind of wilted. I didn't care much for the dressing in flavor. The strawberries were not crisp. It tasted like an old salad. My sons chicken strips were fried boneless chicken thighs dark cheap meat not white meat. The fries were likely frozen and not fresh. It looked pretty but it was not worth the money,Lisa C.,"Walnut Creek, CA",4.0 star rating
9/28/2017,3.0 star rating,So I went here this afternoon for lunch and i expected much better food due to reading the reviews on yelp beforehand. I was quite disappointed with my fish tacos. I had much higher expectations since it was labeled as Mauis best. The pina coloda was amazing and the view and wait staff are great.,Idil J.,"Seattle, WA",4.0 star rating
7/27/2017,3.0 star rating,"The service was good, quick. The drinks were tasty. The food was mediocre. For about $18, the poke barely had anything. You can go to a whole in the wall restaurant and get so much more bang for your buck. The calamari was decent, but you can't really mess that up. They served it with cocktail sauce, which was just okay. I would have preferred marinara or some creamier sauce. I don't really recommend coming here. There are plenty of other restaurants in the area that are more affordable and tastier. 

You pretty much are paying for the view.",Katherine D.,"Northridge, Los Angeles, CA",4.0 star rating
9/26/2017,4.0 star rating,Whats not to like. We travel to Hawaii every year and we try to venture out to find the best cuisine and at Leilani's we were not disappointed. The service was top notch and from the hors d'oeuvres to the main dish everything was quality and flavorful. Along with the meal came ambiance of the beach and a sunset. Like I said what'snot to like.. We will be back!,Chris A.,"Bonita, CA",4.0 star rating
4/26/2017,4.0 star rating,"Coming here for dinner at sunset is a special treat. Craig was our waiter who is fun, attentive, and charming. The top balcony over looking the water is a great and romantic spot to be. During the hours around 3-5 ish they also have live music going on which is nice.
Our table for dinner had crab cakes (5/5), crab legs 4/5, mahi mahi and the Opah fish which were all pretty tasty but the fish was a little dry. The Hula Pie for dessert is an absolute must!!! It's an amazing ice cream cake, Oreo crusted dream.",Becca T.,"South Summerlin, Las Vegas, NV",4.0 star rating
9/19/2017,5.0 star rating,"Great view at sunset. Delicious Ahi Tuna and cocktails. Also, dat table bread was sooo good. Will definitely be back next time in Maui",Stephen B.,"New York, NY",4.0 star rating
9/9/2017,4.0 star rating,"This is for my visit in early August 2017. I actually made a lunch order for take out first time (their fish tacos are super yummy!) to eat in my room before finally coming in to dine there. I was fortunate to be able to squeeze a reservation for party of 2 during Leilani's busiest hours at 5:45 pm via phone call. Yelpers, before you fret about not being able to reserve the time you want on OpenTable on a late notice, CALL THE RESTAURANT FIRST. I was in that state with a hangry partner and no desire at all to drive out again from our hotel. I was grateful to be able to get that slim timing! 

After a walk over from Westin, we were greeted promptly and were directed to the upper floors of Leilani's. We got a nice view of the beach, and the staff did their best to situate our seating better in the tiny space. We got the Pan-Seared Catch and one of their seafood specials, which were all delicious and exquisite. Our evening ended with a nice walk back to our hotel and catching the sunset view. 

I was bummed out about not being able to do the Tasting Menu, which I hope to try to go for if I ever visit Maui again! Touristy or not (yes the prices are scary), Leilani's is worth the visit (even more so with a reservation made ahead of time)!",Melody W.,"Honolulu, HI",4.0 star rating
8/17/2017,4.0 star rating,"Beautiful view. No reservations needed. Get there before 5:30 to beat the dinner crowd and see the sunset. Hula pie is a must.
Food was good.",Haleh N.,"Boulder, CO",4.0 star rating
7/3/2017,4.0 star rating,"One of my last family meals here was at Leilani's, and it was a super fun dinner event. 

As an appetizer, I shared some crab cakes with my 3 cousins and it was super succulent and just overall delicious. If you've ever been to Maryland, these crab cakes are pretty comparable to theirs. 

I had the Pan Roasted All Natural Chicken that came with ratatouille, and that was the best part of it! The chicken was succulent, but the ratatouille held all the flavor. I truly miss it and would order it again in a heartbeat. 

For dessert, I shared a mud pie with 3 of my cousins and it was super good. Bonus: I had to use force to break the crust which made it even more appealing because I had to work for it in a sense and couldn't just whip it up with my spoon. It wasn't overwhelmingly sweet too! 

TLDR: If you're looking to have a nice meal with good company, I'd recommend Leilani's!",Jennifer T.,"San Jose, CA",4.0 star rating
2/27/2017,5.0 star rating,"Pono pie! Leilani's is one of the restaurants in Hawaii where you can get this very special treat not available on the mainland. How special is it? It's gluten free, (added) sugar free, dairy free...and looks and tastes almost like a fruity cheesecake!

We were introduced to pono pie at Leilani's and it was easily the best and most unique thing we ate on our recent Hawaii trip. Made from breadfruit and blended with other fruit it tasted like a lilikoi (passion fruit) and coconut cake. Still cannot believe how delicious this dessert was and that it was just made with local fruits!

The pono pie ($10) was the perfect end to an awesome dinner we had at Leilani's which included attentive and friendly service, tasty and affordable entrees (sitting in the more casual beach bar patio) and outstanding tropical cocktails bursting with the flavors of fresh fruit juices. I wish we had been there for sunset, during happy hour, not just because of the deals, but because you can get a perfect view of the sun dropping between the Lanai and Molokai islands from the beach side patio.

At Leilani's you have a choice between the outdoor covered beach bar patio right on Ka'anapali Beach and tucked away indoor dining room. They each have different menus and I totally recommend doing the beach bar which has a separate hostess and entrance. The inside dining room has fancier entrees for around $30 and up like prime rib and steak, while the beach bar has more casual items like burgers and tacos for around $20 or less.

I found the beach bar menu to be a LOT more affordable without sacrificing choices. We got a poke bowl ($18) that came with tons of housemade taro chips and was the best poke we had on our Hawaii trip -- nice and red, perfectly marinaded! I ordered the ""fish of the day,"" which seemed like a bargain at $23 as the fish happened to be opah, Hawaiian moon fish, and was balanced nicely atop a bed of veggies and potatoes and sauce. It felt like a big fancy entree I would have gotten inside without the big fancy price.

Our cocktails were outstanding! I really will miss that robust fruit flavor from freshly squeezed juices that makes it so you can barely taste the alcohol in your mai tai ($12). We also got the coconut grove ($10), which was like a pina colada with added macadamia nuts blended in for added dimension.

Parking is located in the Whaler's Village shopping center, and you can get a validation from the restaurant.",Peijean T.,"Los Angeles, CA",4.0 star rating
7/1/2017,4.0 star rating,"This was our first dinner stop on our trip and a great way to start the trip. We got a coconut shrimp appetizer. It was really good. The sauce was different but we liked it. We got the fish tacos with a side of guacamole and they were probably the fish tacos we've ever had.  Even the salsa was amazing. Between the appetizer and the split fish tacos, we were very full. Big servings here!",Ally C.,"Fort Mitchell, KY",4.0 star rating
9/22/2017,5.0 star rating,"Dessert first for this review! A huge ice cream cake with hot fudge on top & toasted nuts. Yum! The bartender, John, was super fun & friendly. The food was sublime. EVERYthing was delicious! We had Maui Sweet Onion Salad, sushi, calamari, and seafood pasta. Mouth waters just remembering it. We watched the sunset as we sipped Mai Tai drinks & locally brewed beers! Recommend!",Lea C.,"Springdale, AR",4.0 star rating
6/30/2017,3.0 star rating,"Killer view right next to Whaler's village and all the beach goers along Ka'anapali beach. The food was just okay and their menu carries the standard resort burgers, nachos and seafood. Their appetizer beachside nachos (13$) were pretty meh, with not enough guac. The ahi poke bowl (18$) was crazy loaded on saltiness.. not even balanceable with the taro chips. The fresh fish tacos (19$) were the slightly more redeeming part of the meal, with super fresh large slabs of mystery fish (they don't tell you what it is). The famous hula pie (10$) was more like an ice cream cake covered with chocolate and whipped cream. Flavor-wise, it was very bland, not even much vanilla flavor.",Amy W.,"Seattle, WA",4.0 star rating
9/24/2017,3.0 star rating,"For a Thursday we were seated quickly and our waiter was friendly and attentive. Food was ok. Nachos could have been amazing, but due to the way they are prepared were served barely warm (cold in spots). Kids meal is ok. If you have a fish intolerant little one, be warned the chicken strips may be a bit fishy because of shared frying with fish. Overall, it was on par with a quick casual Applebee's/ Friday's style restaurant, but with a nice beach view. Salad had dressing left off and soup had same coolness as nachos.  Maybe this place is just too cool for us LOL. Best part, quick seating, attentive service and they genuinely seemed to care and take action when we explained our food shortcomings.  My friend who recommended said the fish tacos were amazing. So maybe plan on that and skip the nachos!",Melissa S.,"Phoenix, AZ",4.0 star rating
6/5/2017,4.0 star rating,"Came here two days in a row bc we saw they have a affordable chefs tasting menu. The first night we got 2 fish of the day, Ono and ahi. Both good but tuna a little more moist. Didn't like fish tacos bc the taste reminded me of tilapia. The tacos could have also used some more crunch like with slaw or something. Our waitress Jessica was great. 

Went back for the chef's tasting for $26 around 5pm and got seated promptly. The tiger shrimp appetizer was just large shrimp with cocktail sauce. Kulua pork spring rolls were nice and crunchy. The parmesan crusted moon fish was freaking delicious. Surf and turf was good too but not as good as the fish. Good bread pudding.",Kenneth H.,"Arcadia, CA",4.0 star rating
8/22/2017,4.0 star rating,"Came here for dinner and would definitely recommend!

Food: The food came out at a great pace and was very tasty. We ordered the sashimi as an appetizer - absolutely delicious! Very tender and great flavor. I ordered the parm crusted fish, which was a great sized portion and very tasty. I also sampled the food of the others at my table - I recommend the seafood pasta as well as the flat iron steak. Perfectly cooked (we ordered medium rare). 

Service: absolutely great! The hostess was very friendly and helped us to be seated earlier than our reservation. Our server (I believe his name was John) was very attentive. 

Drinks: The only reason for 4 stars instead of 5 is because the drinks were pretty average. We sent back the coconut grove - the entire table agreed it was not good. In my opinion, it tasted like the buttered popcorn jelly bean. Despite the bad drink, John was extremely understanding and got us new drinks right away. 
I had the Lei's lemonade, which seemed a bit weak. We had another tropical drink (anuenue I think?) and it was very tasty, but also not very strong.

Ambiance: Pretty on the inside. I hear there is a great view, but we came at about 9 PM, so it was dark.

Overall, I would definitely recommend. Great place for family, couples, and children!",Alex B.,"Granada Hills, CA",4.0 star rating
8/11/2017,4.0 star rating,"To start off this place is near the beach, which allows you to see the sunsets if you go around dinner time. Even then you may be seated inside, so you may not get to see the sunset. 

The food is going to range from about 15$ and up. Main entrees are around 30$ and up. 

The staff is energetic and very attentive. They describe the catch of the day if you are interested in having fish. 

I got the seafood pasta salad which was good but it was a bit too salty. It comes with pasta, shrimp, and a small piece of lobster.",Jen M.,"Chino, CA",4.0 star rating
5/18/2017,5.0 star rating,"First off,  Leilani's is very clean and casual.
We were seated within 5 minutes and from the beginning to the end ou're service was fantastic.  Ben,  our waiter was very attentive and knew the menu completely. 
If you're having a cocktail,  try the refreshing Lime in the Coconut.  
The seafood chowder was excellent as was the seafood pasta.  
The sunset was breathtaking. 
You won't be disappointed.",JL G.,"Novato, CA",4.0 star rating
9/13/2017,1.0 star rating,"Terrible service on first and only occasion....some don't realize that all it takes is a bad first impression.  Visiting from California and was in that area looking for a place to watch my football.  Went to the patio area and asked a server if the games would be on their TV's eventually, as they appeared to be just setting up.

Her response was brief and not a friendly note to it-- ""It will be on but not with sound or anything....we're not a sports bar"".  I took a second to process that and before I could ask another question she said ""why don't you try one of the hotels?"" in a very snippy tone.

My intent was to watch the game, have lunch, and come back for a nice dinner....would have been a pricey day.  Walked away to a nearby competitor who was just great and welcoming, and they got all my business that day.",Scott A.,"Aliso Viejo, CA",4.0 star rating
5/10/2017,3.0 star rating,"After a long day of laying out on the beach all we wanted was a nice first dinner in Maui. It's located in whalers village shopping center. The restaurant will validate your parking so don't forget to bring your parking voucher! 

The location is right next to the water and we were seated upstairs on the second floor. We had a beautiful view of the water and watched the sunset while we enjoyed dinner. Be prepared for bugs! I don't know if it's just this area but the flys were all over our table and along the fence we sat next to. I ordered their herb roasted fish of the day with watercress pesto. Laid over a bed of poached baby potatoes, baby carrots and toasted macadamia nuts. BF ordered their pan seared catch with kula corn, local greens, sweet potato gnocchi and charred tomato vinaigrette. I enjoyed my fish of the day. It was a very mild white fish. It was good but nothing to write home about. I did enjoy the sweet potato gnocchi. But overall I think my BF and I would both agree the best part of the meal was dessert. We had their Kimo's original Hula Pie. Let me describe this extremely decadent dessert. It has a chocolate cookie crust, MACADAMIA NUT ICE CREAM, pool of hot fudge,toasted macadamia nuts and whip cream to finish it all off. WOW! It was heavenly! If you don't get anything else here get this pie! Trust me you won't regret it. You can walk it off afterwards at the mall.",Karen H.,"San Diego, CA",4.0 star rating
12/15/2016,5.0 star rating,"An awesome surprise welcomed us about Leilani's. Who knew? Behind all that busy exterior is this truly romantic area in the back. 

I know the area where this restaurant is located and I never thought romance is there for you to have. It's this little spot where about eight tables and a tiki torch is so well arranged. The table we had backed into a wall where there was some really noisy birds. No it's not a bad noise. It's very appealing! 

But here's a tip. Request for the table right under the tiki torch. Best table. This little spot if you request is described as ""on the side"". It is NOT the upper level. 

Leilani's is located in the Whalers Village. Next to Louis Vuitton. 

Great food. Awesome service. A standout was their Ahi Poke. The tuna steak is outstanding as well. 

I am a fan! 

#2 Tip: reserve a table. They're super busy and I totally get why!",Janet D.,"Denver, CO",4.0 star rating
8/24/2017,5.0 star rating,"Great location, oceanfront, nice to see the sunset, came to the bar & grill, ambience I give it a 10, food 9, had the flat sirloin steak, excellent, good flavor, wife had the chicken kalbi, nothing special on this one, nice walk along the beachwalk, highly recommend.",ERIC M.,"San Jose, CA",4.0 star rating
5/17/2017,5.0 star rating,"We went here for dinner one night and it was amazing! Great service and a wonderful selection of fish. 
That's the wonderful thing about Hawaii, there was a great selection of fresh fish that has been caught super recently, created into delectable entrees! 
  Leilani's also had a fun atmosphere! We loved it so much we went for dinner two night in a row! 
I got the fish tacos which had a TO DIE for crema! 
My daughter had the kids steak and she devoured it! 

Leilani's also had a great selection of beers on tap. 

If you are staying on Kanapali beach, this restaurant is a must!",Nöelle D.,"Orangevale, CA",4.0 star rating
1/8/2017,4.0 star rating,"Gone are the days of their frozen mahi mahi now fresh and delish with their cajun rub tacos.

Lava flow and hula pie the bomb.  With Molokai and Lanai the backdrop what a fabulous romantic though expensive  backdrop!",David H.,"San Francisco, CA",4.0 star rating
8/13/2017,5.0 star rating,"I'm so glad I decided to make a reservation during sunset hour. The food and service were exceptional and the view was magical. The sweet bread with butter they bring to the table is warm and perfectly sweetened. We ordered the crab cakes for appetizer, they were so full of crab very tasty. For the main course,I ordered the Parmesan crusted fish of the day and my fiancé ordered the filet mignon, we cleared our plates. Lol",Dlite S.,"Rancho Palos Verdes, CA",4.0 star rating
8/24/2017,4.0 star rating,"We have eaten here several times.  Great cocktails and beer selection.  Sunset seating can be very bright!  They put up shade, but it's not enough.

Had ono sandwich, ono tacos, wings, nachos, kids burger, fish and chips, and Korean fried chicken sandwich.  All were worth ordering.  Our favorites were the ono dishes.  Prices fair for Maui.",Justin D.,"San Diego, CA",4.0 star rating
8/9/2017,5.0 star rating,"The service here is amazing. Everyone's so nice and the food is great. From the onion rings to the scallops to the seafood pasta. Many people go here for their famous hula pies, but I go here for the paniolo prime rib!  it's always on point. They also have a great variety of beers on tap. I hope to go back really soon.",Brandi D.,"Wailuku, HI",4.0 star rating
8/8/2017,5.0 star rating,"Love Leilani's 
Staff like Jenny and Iao are so No ko oi
Mahalo for your beautiful smile and making one feel at home
Must try are the Mai Tai's 
Aloha till next time",Fabiola Q.,"Costa Mesa, CA",4.0 star rating
9/18/2017,4.0 star rating,"In spite of being extremely busy, with a 7:15 reservation, we were seated on time in an amazing ocean view seat.  Fantastic for as crazy as this place is.
Now for the bad.  Had the pesto fish which was delicious.  The vegetables however were underdone.  Really underdone.  What a shame.
Otherwise, top notch.",Marty D.,"Irvine, CA",4.0 star rating
8/12/2017,5.0 star rating,"The beachfront restaurant at Whaler's Village offers delicious dinner choices in a family atmosphere. 

First, let's talk restaurant choice. The downstairs restaurant offers more casual food, such as burgers, tacos and pasta. I assume that this is designed to create higher turnover of the outdoor space on the ground level, as well as to indent this looking for more substantial fare to choose the upstairs dining room. 

We ate in the main restaurant upstairs. We arrived after nine on a Friday night and were seated on the outdoor balcony along the rail. Excellent location for a table. The setting was warm and breezy and the clear sky was decorated with bright stars. 

The food was excellent. We started by sharing a Caesar salad; it was sizable enough to share as a way to pass the time until our meal came. For our main course, we ordered ahi tuna rare in a butter sauce (it is one of the standard fish preparations they offer daily) that was delicious. It was served with asparagus and basmati rice. The rice was somewhat bland even with the butter sauce dressing it, but everything else was amazing. We also ordered the Maui-onion flatiron steak. The steak was seasoned perfectly with a dash of salt and was served over delicious mashed potatoes with bacon. Mixed vegetables were also very good (broccoli and carrots). 

Overall, this quality of food was excellent and the location stunning. Definitely find time to try this gem on Kaanapali beach.",Bill W.,"Syosset, NY",4.0 star rating
4/22/2017,3.0 star rating,"Ka'anapali's Whaler's Village offers a few good choices for a meal. And by and large, they're all comparable because they all cater to tourists. As a result, you will find large menus with a lot to choices including several kid friendly options, lots of ""island flair,"" and a long list of fruity cocktails with umbrellas and/or tiki heads. But among all your restaurant choices, only two places are right along the beach walk. The more renowned and popular Hula Grill, and Lealani's. And while neither is perfect, Lealani's is pretty much everyone's second choice. Most people dine here when they can't get into Hula Grill, or becuase they already ate at Hula and want something else. Both establishments have a fine dining area, and a bar and grill. Both are reliably crowded for dinner, and both take reservations which I highly recommend.

Many people rave about place and give it five stars. I would suggest they're grading on a curve. Because Maui's many better restaurants are far away. At least for most people who have spent their day lazing on the beach and don't want to venture too far from their hotel. So yeah, Leilani's is fine. And good enough when you're wearing guava shaded glasses because you're in Hawaii and dining by the beach. But in the scheme of things, this place is just about average.",Peter C.,"Seattle, WA",4.0 star rating
11/1/2016,4.0 star rating,"Weston's trendy Leilani on the beach is in a perfect location to get a great lunch or dinner with a beautiful view and be able to people watch walking along the beach trail. 
My husband ordered the Cuban sandwich which he said was so delicious he had me take a bite. I had the farmers salad which was delicious!! I hope we have time to try more entrees. 
I would have gave them 5 stars on the food alone!! but our server was having a off day.",Elaine V.,"Scottsdale, AZ",4.0 star rating
8/23/2017,4.0 star rating,"Awesome! Amazing views, the food was outstanding.... service was great. I had the herb prepared fish; my husband had the ahi tuna. Both of our meals were delicious. We also had the ice cream pie (macadamia) for dessert.... yum!!

My only complaint would be pricing of some items. $12 for a mai tai? $15 for 6 pieces of shrimp? I know we are tourists in a tourist destination, but I can get something very similar for much less down the street. 

Overall, I WOULD return for sure.",Kelly A.,"Carnegie, PA",4.0 star rating
9/18/2017,5.0 star rating,"Took my wife on our last nite in Maui
Great place, service was great. Our waiter Mark was great, he gave you space. No hovering over all the time, but was right there if you needed something. The food was excellent.",Mike G.,"Fort Bragg, CA",4.0 star rating
7/14/2017,4.0 star rating,"Went her for dinner while vacationing in Maui.  The bread basket and whipped butter was a great start!  I ordered the Maui Fresh salad and my husband ordered the hawaiian poke pupu and the seared ahi tuna.  The salad was good, but portion size was not really adequate to make it a meal.  Husband loved the poke and taro chips as well as the ahi tuna, but felt that the ahi also was a small portion size for the price.  The accompanying coconut citrus jasmine rice (comes with ahi) was really great!  We tried the hula pie for dessert, which was fantastic and I would get again in a heartbeat.",Melissa S.,"Chicago, IL",4.0 star rating
8/18/2017,5.0 star rating,"Meal: 10/10
- Guava Wings (Good)
- Kaluha Pork Sandwich (With side of BBQ = Amazing)
- Fresh Fish Taco' s (Phenomenal)
- Piña Coladas (Good: Great taste with little alcohol)

Service: 10/10
Derek knew the menu well and made great recommendations. It got busier, but he stayed attentive to my wife and I. The sun was setting and all in all turned out to be a great experience.",Khalid J.,"Brooklyn, NY",4.0 star rating
