Date,Rating,Review,Name,Location,Rating_v1
2/6/2017,5.0 star rating,"We ate here on the first night of our honeymoon. The outdoor space was beautiful (quite literally next to the ocean) but it was unusually chilly and windy and I was not dressed for it. As soon as we were seated at our table, a member of the staff offered me a towel to drape over my shoulders so I could enjoy my meal without freezing. I was impressed all night with the level of attentiveness we saw from the staff. 

We ordered our drinks (I had an Elderflower Punch and it was delicious) and received our appetizer, the Toybox Tomato and Burrata salad. I'm usually sold right away on any dish featuring tomatoes, but my favorite part of this dish was the burrata. It was creamy and rich, without being overpowering. I could have eaten two more orders of it!

Our entrees took quite a bit longer to come out, but our server made sure to let us know what was going on each step of the way. By the time our food got to us, we realized pretty quickly it was worth the wait. I ordered the Meyers Lemon Chicken and my husband got the Seafood Hot Pot. Both of our dishes were PERFECT. My favorite part of my meal was definitely the Brussels sprouts with the bacon lardon (anything with bacon gets a thumbs up from me), but the chicken was cooked to perfection. My husband's meal was seasoned beautifully and was probably the best thing he could've ordered, considering we were both a little cold. 

After we'd finished our entrees, our server brought out a dessert menu and let us know our dessert would be on the house, due to the longer wait time for entrees. We weren't feeling dessert, but I ordered a (very generously poured) Irish coffee. As we finished our coffee, our server returned and informed us that the manager had actually taken our entrees off our bill entirely due to the wait time. We opened the bill and felt as though we were stealing from them! The food was incredible, and matched only by their level of hospitality. We'll certainly be back; they made the first night of our honeymoon!",Lillian P.,"Mililani, HI",3.0 star rating
2/17/2017,4.0 star rating,"Happy hour from 5-7pm. Our waitress was great and helped us get our drink orders in before hh ended. No food for hh, just drinks. $10 a drink which is a good deal for this tourist trap area",Tony I.,"Cleveland, OH",3.0 star rating
1/12/2016,5.0 star rating,"Oh, Relish....thank you for a perfect evening! We visited for an early dinner around 5:30, since the sun set is pretty early. We were greeted kindly and seated on the lawn right by the sand- a perfect ocean view. 

Call me crazy, but drinking out of a pineapple was a major priority for me. Seriously, how much more tropical can you get? Our server, Aaron, shared in our delight as we squealed over the option to put any cocktail in a pineapple. While our drinks were half price, the pineapple ""cup"" was $8. Steep, but I am not kidding when I say I required this damn pineapple. Hah!

Our entrees were ""buy one, get one half off."" This is high-quality, fresh, and nicely presented food. What a deal! We had the blue crab and macadamia nut mahi mahi, served with rice, asparagus, and a heavenly cream sauce garnish, as well as the Hawaiian-style BBQ ribs, served with macaroni and potato salad (needed some seasoning) and a delicious broccoli slaw.

We dined and left with the biggest smiles. Our bus boy even packed up our empty pineapple vessels so we could make our own cocktails to fill them with later! (I'm a dork, I know.  A happy dork.)


This is on the Westin property. If we weren't making a priority of trying new places, we would dine here again and again.",Paige A.,"Boston, MA",3.0 star rating
5/18/2017,1.0 star rating,We saved this for our last night. We made a 7:30 reservation for an oceanfront table and were seated on time. We sat there until 7:50 with no service. !?!?!!! It was not busy. There were noisy children running around. We got up and left. Something is wrong here....,Mary D.,"Chatsworth, CA",3.0 star rating
12/3/2016,4.0 star rating,"Friendly servers, and quick service. The drinks were ""ok"" but pricey (I guess we're paying for the convenience, not the quality)
Food and desert were average, but again, quick service and very convenient poolside.",JonJon W.,"Pacifica, CA",3.0 star rating
5/7/2016,4.0 star rating,"Service - excellent, waters poured before everyone was seated, knowledgeable server 

Food-
+lobster chowder, appetizer, small portion but very rich. Delicious. 
- Flatbread, caprese style with roasted tomato and burratta cheese.  Don't bother with it. Lacking in flavor all around, akin to prego marinara on tough flatbread with fresh sliced tomatoes ( not roasted as described) 
+island curry, mouthwatering lemongrass and coconut curry broth. The curries are clearly the star at this establishment. The depth of flavor brought us back to Thailand. 
+ seared ahi entree, just barely seared with a beautiful ruby red on the inside. 

Beverage - most of us had wine and found the suggested pairings to be excellent 


Ambience - good if you're seated away from the bar.  It was raining on and off the night we went, so they stopped seating in their ocean front section. We were in the back,  just under a large plasma screen and the wine fridge. The glow from both of these was off putting, as was the server traffic behind us. The chairs were mismatched and the table,  wobbly. It provided an unfortunate contrast to the elegant food.",A N.,"Rancho Palos Verdes, CA",3.0 star rating
8/28/2016,3.0 star rating,Service was decent. Food was so-so. $36 for two small pieces of fish is nuts...better options at Roy's or elsewhere. Garlic shrimp was too salty to eat. The Ahi Poke was good as was the toy box tomato salad. Would suggest exploring other options if you have the chance...,Scott H.,"Coto de Caza, CA",3.0 star rating
8/16/2016,2.0 star rating,"Beautiful view, excellent service from Megan. Unfortunately the food is not good at all such a waste for the nice property. I don't know why Westin can not find a good chef for that restaurant. 
When the $28 salmon came it was laughable. I get it, it is Maui price but at least give us some decent food. 1 and 1/2 fingerling potatoes and 3 mushrooms, over salty over cooked salmon.",Tyler S.,"Austin, TX",3.0 star rating
4/20/2017,2.0 star rating,"Food was just ok. The wait for a table was also not bad, maybe 7 minutes. There was such a long wait for food, it took 30 min just to get out appetizers... the waitress was ok, not overtly kind or friendly. Honestly just an ok experience, which would be fine if it was a fast food place... but it's a nice expensive restaurant. Idk, maybe we came on a bad night?",Rachel A.,"Rochester, NY",3.0 star rating
10/2/2016,3.0 star rating,"We stayed at the Westin Resort and Spa. First night here we tried the house restaurant, Relish Oceanside. The location was fantastic, wanst overly crowded which made us a little leary. Had a great table with ocean sunset view. Waiter was friendly, attentive and helpful.  The menu selection was beet limited. We had meat and cheese plate appetizer which was good, not great but good. Wife wasn't very hungry so she ordered a beet salad with host cheese and I got the pawns over parrafalle. My plate was very good and a lot of food but wife's salad was not too her liking, way too much cheese. 

A guitarist was playing wonderful music and the setting was beautiful. So the drawbacks were very limited menu and one dish was below par. Is give it another chance though.",T F.,"Hollister, CA",3.0 star rating
4/10/2017,3.0 star rating,"Had dinner here tonight starting at 6 so watching the sunset with drink in hand was great. Can't beat the scenery. A few of us had specialty drinks which were excellent, and at $10 for the happy hour price, not too bad a value considering the location. I would have ordered another before hh ended but our server hardly ever came to check on us! By the time she came back we were half way through dinner and I didn't feel like another drink. 
I had ahi, my wife had salmon. Ahi was so-so with a small salad accompaniment. My wife's salmon was tasty but the sides were pretty ho-hum. For the price (expensive) I expect more refined flavours in all aspects of the dish. The desserts I tried (cheesecake, banana parfait) were good but not remarkable. 
Positives - drinks, view, ambiance
Negatives - inattentive service, entrees are not as good as they need to be for the price",Paul S.,"North Vancouver, Canada",3.0 star rating
5/4/2017,1.0 star rating,"Dont waste your time. Limited menu, overpriced, had a reservation for 530 booked a month ago, called me at 230 said sorry we have wedding party that just booked your area sorry goodbye. Horrible customer service, dont waste your time here, go to lahaina",Joe P.,"Ontario, CA",3.0 star rating
6/21/2017,2.0 star rating,Sunset view was nice. Food was overpriced for what they offered!  Service was slow. We would not go back.,Loli S.,"Anaheim, CA",3.0 star rating
7/19/2016,4.0 star rating,"The atmosphere here is wonderful with live music playing that's not over powering to where you can't hear each other talk. The fans circulate the air very well so it's not hot at all. 

I came here today because I wanted a nice drink with an appetizer. My first dish didn't turn out so well and I was over it. They took it back and asked if it's like something else. Normally I'm done, but since I was starving and they were so nice about it. I got another appetizer. Second time around was awesome. Stefano,  the manager worked on making things right. 

The service and staff are on point. The food second time around was great. We will be coming back for sure.",Jen P.,"Los Angeles, CA",3.0 star rating
11/21/2016,1.0 star rating,Burger do not do it and don't get lava flow from nicer restaurant ... Breakfast buffet for two and two mimosas $100 plus tip :),Erin P.,"Dallas, TX",3.0 star rating
5/2/2017,5.0 star rating,"We have been to Maui 25 times and eaten everywhere. This is the most Beautiful spot on the island. I think it beats Mamas fish house. Reserve a table on the lawn and you feel like you are the only people around. Besides the incredible location, the good was wonderful. Our new favorite place.",Nicole G.,"San Francisco, CA",3.0 star rating
9/25/2015,4.0 star rating,"Seating perfect for this Sunset Dinning .
We visit our anniversary trip and would try rather to Sanzi Swan Court!
Great meal good service Great View!",Kitty C.,"Pleasanton, CA",3.0 star rating
5/17/2017,3.0 star rating,Food was expensive but good. Service was bad. The server never refilled my drink and was not very attentive.,Konner T.,"Walnut Creek, CA",3.0 star rating
12/22/2016,3.0 star rating,"We had such a good time on the beach that when it is dinner time, the two hot restaurants nearby have the wait time of 45 min to one hour. Relish Oceanside, on the other hand, had a lot of empty tables. So you know this is not the super hot restaurant on the block.

The good part, the view is just unbeatable. It is right off the beach, the wind, the fire torch, the lights, it is very beautiful. The food is fresh. We ordered lobster chowder, bread, salmon, sticky ribs, and seafood hot pot. The ingredients are all very fresh. The taste is good. The seafood is a little bit too salty.

The not so good part, it is very pricy. The seafood hot pot had 4-5 pawns, one piece of fish, a lot of mushrooms ( as an Asian, I know it is the cheap mushroom, $1.5-$2 for a box), and two baby bok choy. It is a little too pricy to charge $40 for that.

The waiters are all very nice, while somehow they are quite slow, even there are not many guests. 

With its connection to Westin and its price tag, I expect better food quality.",Qian T.,"San Jose, CA",3.0 star rating
7/11/2015,1.0 star rating,"An Oceanside Maui restaurant has to be really bad to earn just 1 star, but here we are.

Pros: 

It's Oceanside. We got seats closest to the sand overlooking the sunset/evening. Calm waters were soothing.

Cons: 

Food: I got the ribs. My wife got the salmon. The food was a concoction of bland and terrible. The meals felt as if they'd been microwaved. Sad reality.

Price for this quality. We both ended up eating only 1/4 of the food on our plate all while paying close to $90 for two dishes, two drinks.

Service: Our waitress was new and very nice. Seems like she will have a bright future, but the overall service was slower than expected.

Overall: With the competition next door, we expected much more here. It was a disappointing outing to be sure.",Esco J.,"Panorama City, CA",3.0 star rating
10/10/2015,4.0 star rating,"I couldn't see another restaurant with a better view in all the beachside restaurants that lined Kanapaali beach.  We got there a little after 5, and literally got the best seat in the house, front row view to the gorgeous sunset!  We saw one couple get engaged right before our eyes, and we all clapped, lol.  On top of the view, we got to enjoy the happy hour deals which were bogo half off entrees, 20% off salads and apps, $4wine or beer, and $7 cocktail specials.

The food was pretty good, I got the Mahi with crab which was great.  It came on top of rice and asparagus with a slightly sweet sauce (caramel).  We think this might be their play on Mama's fish house's version. My wife got the pesto pasta dish which was also good.  Ironically, the table behind us also got the exact same thing.  We also had the caprese salad for appetizer, which was just alright. I guess that's what you get for tomatoes when it's not in season (they were slightly overripe). It also had a slightly different flavor than a typical caprese (with buratta instead of mozzerella) maybe a slight garlic flavor? The maui onions accented it well with a sweet spicyness. 

Our waiter was very patient with us as we took a billion photos of the food and sunset, and was pretty nice to us.  We'll definitely come back for the views! He also encouraged the tables behind us to order so they could take advantage of the happy hour deals as well.",Mas M.,"Redwood City, CA",3.0 star rating
4/11/2017,2.0 star rating,"Disappointing.  It was Sunday night, so maybe the chief chef wasn't working.  Our crab encrusted Mahimahi lacked flavor, and the prawns pappardelle noodles stuck together.  The prawns were also overcooked, so dinner wasn't what we'd hoped.  The service was slow, so much so that the table behind us asked for the check as soon as their entrees finally arrived. The bar, on the other hand, was a nice experience.  Kudos to Tina for helping brighten an otherwise disappointing experience.",Bob J.,"Arlington, VA",3.0 star rating
8/31/2015,5.0 star rating,"The view alone was worth the money. And the money wasn't even a lot. The ribs and the steak were both tender and full of flavor. As we sat and dined during the sunset, we couldn't have asked for a better way to end the night. 
The service was great and our server was very attentive. 
The seating by the waterfall and the tiki torches set the perfect mood.

Dine or Dash? Dine. Every time.",Tasha V.,"Rancho Cucamonga, CA",3.0 star rating
4/27/2017,5.0 star rating,Make reservations for a sunset dinner here and you won't be let down! The pork buns were amazing and the ribeye was equally amazing! The banana dessert was good but over priced since it was basically banana cream pie with a nice presentation.  Drinks and service were great but it is expensive so go for a nice occasion.,Kendall M.,"DeBary, FL",3.0 star rating
9/4/2016,3.0 star rating,"The atmosphere and view is nice, also the service was friendly and good, but the food is just mediocre and overpriced. Drinks were tasty and strong - were around $12-15 for cocktails, but the entrees were bland and not worth the cost (probably 25-35, which is expected for Whalers Village but the food typically is at least decent). The only reason we went here was because it was the few things on OpenTable on the Kaanapali side that still had reservations available on a Friday night, everything else in the area was packed!! Oh, we also were staying at the Westin so we weren't expecting much based off the ratings but were willing to eat and pay for it for the convenience!",Monique N.,"Irvine, CA",3.0 star rating
5/13/2015,4.0 star rating,"Food was great!!! Wonderful views and service. Try the seared tuna with spinach. 
The ocean view and happy hour specials are excellent.",Cassandra C.,"Marina del Rey, CA",3.0 star rating
8/13/2016,5.0 star rating,This place has pretty good food. The service is wonderful and everyone is very attentive. I had a great experience here and the waitress made our meal even more enjoyable. The live music was relaxing and perfect!,Michelle H.,"Santa Monica, CA",3.0 star rating
2/8/2016,3.0 star rating,"We ate here two times. Once at the more casual side where we got burgers and fries. We thought the burgers were really plain, but enjoyed the fries and drinks. Then, we ate on the side where you can eat right next to the beach and get more upscale menu items. The view was amazing, but service out there is a little slow because it is separated from the rest of the restaurant. I got poke and flatbread which was just okay. However, my husband got the steak and it was so yummy. It was good, but I wouldn't rush back when we go back to Maui.",Holly T.,"Dallas, TX",3.0 star rating
2/22/2017,5.0 star rating,"We ate breakfast here almost every morning - not only was it delicious, the view was amazing! Only con is the price. Super expensive.",Maggie H.,"Atlanta, GA",3.0 star rating
12/8/2015,4.0 star rating,"This was the best way to enjoy a leisure breakfast! We were lucky to stay at the Westin si this was just am elevator ride down and hot dang you are there.  This is located right along the ocean so while enjoying your breakfast,  coffee,  mimosa, etc you are looking out at the beautiful Pacific Ocean.  
They offer a variety of breakfast items or if you can't decide there is the buffet option.  I always choose the egg white and avocado burrito with fruit because it was outstanding! The burrito was soft and the eggs cooked perfectly with a generous amount of avocado added. Dan would vary between the burrito,  a traditional bacon, eggs, and hashbrown breakfast, or the delicious spicy breakfast tacos. My mom was a traditional breakfast kind of gal, but my dad would do the buffet or the omelet. We all loved whatever we chose and left feeling satisfied. 
The servers were nice but I would say the service was slow most days. If you did not have somewhere to go it was not a big deal but I am sure if you did you woyld be rushed.  Overall we enjoyed each visit and hands down an amazing view!",Denise P.,"Kansas City, MO",3.0 star rating
7/7/2016,1.0 star rating,"We've got confirmed reservation at the lawn after dining there. When we came on time they gave out our table in front of us saying sorry, they are first come first serve. After talking to their manager he couldn't do anything. I say bullshit. If you run a restaurant at Westin and that's how you treat your customers you need to step up in your business.",Ruslan K.,"Firm Zip Concept (Courtesy), PA",3.0 star rating
6/26/2015,4.0 star rating,"Pretty good!! 

Mom says- likes the ambiance. Torches, sailboats parked out front. Food was flavorful. Pasta dish was delicious! 

Dad says- tomato and tuna salad was excellent! Highly recommend. 

Brother says- stay away from the steak. Just okay. I'm from Chicago 

Second brother- salmon was okay. Lobster chowder was great.",Amanda K.,"Los Angeles, CA",3.0 star rating
12/5/2015,5.0 star rating,Was here for happy hour and the sunset.  Our server was Rosanna and she was fabulous! We had the pot stickers and edamame with kitchen puree. Best edamame we ever had!,J W.,"Seattle, WA",3.0 star rating
5/30/2016,1.0 star rating,"The drink a total rip off. The virgin strawberry daiquiri I made for my niece had more alcohol in it than their drinks. I mean, if you want to be light on the alcohol, fine, at least put in some more mixers???? My drink literally tastes like water with food colorings. Disappointed.",Kate Y.,"Memphis, TN",3.0 star rating
8/17/2015,5.0 star rating,"Honestly I don't know what the bad reviews are about here. 

Every night my husband and I dined at this place and we were lucky enough to come across one of the most hard working and kindest waiters. He went above and beyond to make sure our orders were brought out in timely manner and the quality was good. We came back because of him for the excellent customer service. 

Anson, was amazing. This man deserves a award for his hard woek. The first night we met him they were short staff yet he was giving above acceptional service to all tables. His understanding of the menu and honesty was great. 

Pros: ocean side seating available.
Not crowded=better quality of food. 
Amazing salmon glazed plate
Best steak. 
Yummy iced tea

Cons: I would only say at times the music is loud, really not a big issue but sometimes u just wanna hear the ocean waves and enjoy the nature. 
Price might be on a high note for some but it's worth it.",Roni C.,"Turlock, CA",3.0 star rating
10/23/2015,1.0 star rating,"I don't understand the flavors of the dishes.
I ordered the Salmon and my friend got the Ahi Tuna.
The Salmon had a sweet/ salty glaze and came with a coconut risotto and seaweed salad tasting thing.
The Ahi Tuna came with a very bacon BACON (a lot of bacon) salad and sticky sushi rice. There was a pickled cherry on top of the rice (I don't get the concept).

There was so much going on, if you tried it all at once, you might throw up. The flavors do not go together!

We came here because the restaurants around this location had over an hour wait.
This place had NO wait!!!! Hmm

The location is fantastic and the outdoor seating is beautiful so please fix your menu, maybe you'll get more business. 
Additionally, the Salmon tasted like it just came out of the freezer. For $30+ i expect fresh.

Furthermore, the waiters are not knowledgable. But if the food was any good, it would speak for itself.",Nancy Kate F.,"Manhattan, NY",3.0 star rating
1/17/2017,4.0 star rating,"Better than expected given prior reviews. Expensive but not surprisingly so given Maui, and both the salmon and the ahi were very tasty (salmon both looked and tasted better than in pictures of other people, maybe they've gotten better?). Service was prompt but place was almost empty",Max A.,"Mission District, San Francisco, CA",3.0 star rating
1/8/2017,5.0 star rating,"Gorgeous setting facing the exquisite sunset over Lanai. They easily handled our party of 9, getting the kid's plates out early without a hitch. Fish was fresh and very well prepared. Very nice reserve wine list! Would definitely recommend!",Steven L.,"Cary, NC",3.0 star rating
10/13/2015,1.0 star rating,"Poor quality, waitress mia. Oceanside but better restaurants in same area. 


Went here on a walk down kaanipali stopped for the atmosphere for a bite and a few drinks. We ordered edamame and shrimp spring roles. Spring roles (4 pieces) had maybe 2 shrimp total in it. Edamame should be simple and easy it had a sauce similar to barbecue on it with chunks of garlic (I think) and they were soft, not typical of an edamame appetizer. 

I had a house salad which sounded better in the description: avocado (1 slice in it) cherry tomatoes (2 sliced in half). Hubby had ribeye steak with bad tasting sauce and very bland mashed potatoes. 

We should have taken a hint that there was no one there, other restaurants that look more fun are popular for a reason.",Liz N.,"Oak Lawn, IL",3.0 star rating
5/22/2015,5.0 star rating,Relish Oceanside is delicious. We had the artichoke shrimp flatbread to start. My wife devoured it before I could take a picture. The entree was very good and heard 2 other tables next to us order the same Blue Crab & Macadamia Nut Mahi Mahi with sweet rice and asparagus. The rice was very flavorful and the Mahi Mahi was maybe best I've had with the blue crab meat on it. It's a tad bit on the pricey side at $36 but that's Maui. And watching the sunset while eating was fantastic. The service was fantastic as my water glass never hit bottom and the waitress always came by with a smile asking us how our meal was.,Jay B.,"San Diego, CA",3.0 star rating
3/28/2016,4.0 star rating,Aaron our waiter was on point. Very friendly and very attentive.  The blue crab crusted Mahi was a **must eat again** dish and would highly recommend it to anyone.  The ambiance was solid and our seats along the beach front in the lawn was A+++,Brian Y.,"Chicago, IL",3.0 star rating
9/25/2015,4.0 star rating,Hawaiian bbq plate. Delicious! The meat fell off the bones. Macaroni potato salad complemented the ribs well. The slice of watermelon was a perfect finish! Beautiful place to eat and watch the sunset. Service was good.,April D.,"Laguna Niguel, CA",3.0 star rating
3/31/2016,1.0 star rating,"We ate here two nights ago and while the food was very good the service was deplorable. First we were told there were no tables and we'd have to come back in a half hour. If you weren't staying at the Westin you were put on a waiting list and those staying there (without reservations went ahead of you). When we came back we were seated in a corner. The waitress was just short of being rude to us. Dinner took a half hour to get out to us. The waitress was again very curt and unfriendly. If you want good food, come here, but if you are looking for good service try somewhere else.",Sue W.,"Kahului, HI",3.0 star rating
11/17/2015,3.0 star rating,"Stopped for a glass of wine and ended up ordering the lobster bisque and the Caesar wedge. The soup was very good, creamy with a smoky flavor. The salad wedge consisted of a few spears of romaine lettuce drizzled with dressing. Portions seem skimpy. Otherwise acceptable.",Janet F.,"Reno, NV",3.0 star rating
4/24/2015,2.0 star rating,"Setting = A (would be A+, except for the gas smell from the torches)

Food = C- (need lotsa work!)

Seared ahi was way over seasoned - to the point of being inedible 

Ribeye was OK, but the corn was cold and had a weird coating on it. Definitely lose the giant piece of Texas toast...reminded me of Sizzler circa 1976

Salads were good.",Marcel C.,"Madrid, Spain",3.0 star rating
8/16/2015,3.0 star rating,"We were looking to have a drink to celebrate yet another amazing Maui sunset and decided to grab one of the  miraculously empty oceanfront tables. The wait staff informed us that these tables were reserved for dinner, which seems inflexible--but I get it; these are premium tables indeed. They also seemed very adamant about knowing where we were staying---I am always baffled  by that, because well, your money is good here, right, even when not staying at the Westin? (I am no longer interested in staying at large resorts.) The drinks were average, service below average, and the food was of banquet food quality (think Vegas black-tie fundraiser, or maybe a notch above that). No one expects culinary masterpieces here, but both hubby's steak and my curry were below average. That said, the view was amazing, and it's all about the sunset anyway!",Judy J.,"Las Vegas, NV",3.0 star rating
5/31/2015,1.0 star rating,"Food is mediocre at best and service was extremely bad. We were staying at the Westin and ate here on two separate occasions, one dinner and one brunch. Dinner service was bad and it felt like the staff wanted to go home so they weren't paying attention or remembering our orders. During the brunch,  a bid pooped on my mom's chair and the server didn't even get up and get a napkin. He told my 65 year old mother to walk to the bathroom to clean it. The server was slow and didn't speak English well. Just overall bad.",D T.,"San Francisco, CA",3.0 star rating
6/22/2015,4.0 star rating,"Since there were only 6 reviews to look at before we went, it was with some apprehension.  We wanted a nice oceanside dining experience before our vacation ended and we ended up making a reservation for 6:30.  Oceanside it was, a table for two across the public boardwalk in a small grassy area, right on the beach.  Given that it was 6:30 and the sun was setting, it was understandably bright but beautiful as always in Maui.  
The service which seemed to get 'dinged' in previous reviews was remarkably good.  The hostess seated us promptly and we were greeted and watered immediately by our waiter.  And, the water never got empty as with previous reviews.  Cocktails ordered, one Mai Tai and a Blue Hawaii.  Both were good but as with oceanside resort dining, pricey at $11 each (we just missed happy hour = 5 to 6 PM).  
We started the evening with an appetizer of tofu wraps (which you actually build and wrap yourself) which were served with lettuce, wonderfully lightly fried tofu that had a light crisp crust and side of all sorts of vegetables to add on -- the dipping sauce was a sweet/sour vinegar base and was delicious.  
Wedge salad came next which was fantastic as well though you should order an extra side of dressing. The white anchovies were on the side, which was good because not a big fan o'that fish.
Main course -- Blue Crab & Macadamia nut Mahi Mahi was wonderfully prepared.  Fish was cooked to perfection and the coating way light and not overpowering at all.
Other main course was the Mushroom/Artichoke Pesto Pasta with a serving of fish (Ono?) on top -- not 100% sure of the name but the waiter did indicate that it was recently found to be a warm-blooded fish....?  Any who, I ordered it medium-well and that was my mistake.  It was very good, steak like in texture and taste but the 'well' part made it a bit dry.  The mushroom/artichoke pesto pasta was just OK.  I wouldn't order it again but then I didn't hate it either.  Serving sizes were very good = presentation of the food shows attention to detail but you do get a lot of food for the money.  We wanted dessert but just couldn't do it after the shared appetizer/shared salad, and main courses = sad face, the dessert menu looked wonderful.
All-in-all, beautiful location for a dinner.  After the sunset (awesome) we were treated to a bright Venus with Jupiter in the night sky, minus any moon.  Two cocktails, appetizer, wedge salad, two mains = $130 before tip.  It was well worth the money.
Service was exceptional, location was great --- if you valet your vehicle the restaurant will validate for a three hour stay, that was great perk as well if you know about the parking in Whalers or at the resorts minus validation.

I would recommend and we will go again one day, hopefully sooner than later.",Buck S.,"Phoenix, AZ",3.0 star rating
