Date,Rating,Review,Name,Location,Rating_v1
6/1/2017,5.0 star rating,"This time, 3 years after my last visit, Diane and I left our cruise ship to specifically eat an entire lunch here, finishing with another slice of fabulous Hula Pie.  Seated at a table facing the bay and Oceania Sirena anchored only about 10 minutes away, we began with an order of rather unique Macadamia Nut Crusted Calamari: lengths of a crispy and golden, nut-dotted deep-fried shell encasing meaty white squid within, served with Cocktail Sauce.  

Our shared app was followed by nice dark blonde Fish & Chips for Diane, and Kimo's Klassic Cheesburger & Fries for me.  The fish was moist and tasty, featuring tender marlin inside slightly crisp but pliable batter.  The well-made standard-sized French Fries were slightly crispy on the outside and supple on the inside.  My half-pound burger was perfectly medium rare as ordered, and graced by well-melted Cheddar Cheese, fresh tomato slices, and shredded Iceberg Lettuce all conjoined by a mellow Maui Island Dressing.  Each bite was a crunchy, multi-layered delight.

Since we are in Hawaii only about every 3 years, I almost ordered my own Hula Pie, but after reading my previous review's admonition and seeing a single humongous order pass by me on the way to a fellow diner's table, I realized that doing so would be inviting sugar shock, and an unfinished dessert.  So, I refrained, and once again split an order with Diane.  Without question, when it arrived this huge confection was large enough for 2 or more diners to share.

Utilizing the combination forks/spoons created specifically for this sweet treat, we systematically reduced our mountain of Macadamia Nut-crusted Original Hula Pie to rubble, with its steep cliff covered with Chocolate Fudge and Hot Fudge Sauce blanketing Macadamia Nut Ice Cream resting on a moist Oreo Cookie crust and supported by a long and thick trail of Whipped Cream.  Eventually the edible rubble became just a smear on the specially decorated Hula Pie plate as we lapped up all of the deliciousness of this inventive and fabled dish.  

Service was friendly and very good in a great, oceanfront dining setting.  I look forward to our next visit years hence!",Dennis T.,"North Las Vegas, NV",4.0 star rating
9/12/2017,5.0 star rating,"We visited Kimo's a few times during our trip to Lahaina. All of us really enjoyed the ribs, which had a great sauce on them! On our second visit we were just looking for a very light meal as we were eating late, the lettuce wraps (which came with 3) and calamari were perfect! The lettuce wraps had kalua pork, BBQ sauce, and pickled red onions. The kalua pork was very flavorful and juicy! I've been to many places where the kalua pork is overlooked and dried out, but Kimo's really cooked it perfection! The calamari featured rather large fried calamari steaks and a great sauce with a little bit of a horseradish kick. 

The Ocean front deck in the bar is hard to beat! The view is fantastic, and in the evening the sound of the waves is very relaxing - it definitely has that text book beach vacation vibe. However, be aware that if you sit along the railing you will probably get wet, and little crabs may venture their way under your table. We didn't mind the Ocean spray as it was hot outside when we were dining! 

The only downside of Kimo's is that it's a little pricey. However, I don't think there is such thing as a cheap meal in Lahaina! If you like sweets give the Hula Pie a try, it's famous across all of their restaurants and it does not disappoint!",Becky Y.,"Las Vegas, NV",4.0 star rating
5/23/2017,3.0 star rating,"I asked one local gentleman from Lahaina where he would go with his family and Kimo's is what he showed us on the map.

Great location. The outside deck practically on the ocean with the waves crashing under you.

The service was very good. It was quick and friendly.

We ordered the macadamia crusted Calamari. I was waiting all day for this. Just sounded terrific. My husband ordered a local IPA. It was 'mild' in flavor compared to most IPAs. Didn't have much of a hoppy influence. I had the happy hour lemonade. Too sweet for me. I had to squeeze the lemons into it that came with the Calamari to settle the sweetness.

My husband was very disappointed in the Calamari dish. It was over fried and he ended up taking most of the breading off. He said he gives the Calamari 1.5 stars. I would give it two. I did like the steak finger style servings but the crust lacked flavor. 

We were going to order other drinks but my husband thought we should go elsewhere. 

One a good note, but not for us, we saw an awesome burger go to the next table. Medium Rare. My mouth is watering as I write this. Even though we did not have a burger I would recommend it over the Calamari.",Jane V.,"Newberg, OR",4.0 star rating
9/13/2017,5.0 star rating,"I emailed Yelp corporate offices early yesterday to see if they could add a 6th star to their scoring model as this restaurant deserves an extra star, but I've yet to hear back from them.

I'm not one who throws around 5 star reviews as a dining experience has to have it all to warrant the TOP rating.  Food, service, ambiance.  Our recent dinner at Kimo's hit 5 stars on all 3 counts!

All fish they serve are in season out of respect for the ocean. I dig this.  I had Parmesan crusted red snapper.  This was the single BEST seafood dish I've had in my entire life.  I'm not kidding.  My wife has the Mahi Mahi ""Kimo's style"" and she loved her dish.  

We paired these with a couple amazing Kimo's mai tais and finished our meal with their famous Kimo's hula pie.  If they had these where I life in CA I would end up being a cast member on ""My 600 pound life"" before you know it.

We sat outside with the Pacific Ocean about 10 yards from our table.   We witnessed the gorgeous Maui sunset.  Scotty our server was courteous, knowledgeable and cool.  6 star meal!",Michael Q.,"Ventura, CA",4.0 star rating
9/10/2017,2.0 star rating,"It's a tourist place, so you know you're going to pay more than it's worth. However, our $17.50 Seared Ahi Salad was so meager, we just stared at it a second and laughed. The ahi amounts to about a 1"" cube cut into slices. Otherwise, it was pretty boring cabbage with not much flavor from the dressing. The burger we had was decent and the fries were great. The service was friendly and the seating right on the water was beautiful so we enjoyed ourselves in spite of the lackluster food. At $50 for mediocre food and two iced teas, we won't be back.",Colin S.,"Palm Springs, CA",4.0 star rating
9/18/2017,4.0 star rating,Wonderful place for a nicer dinner. Great cocktails. Our waiter was very helpful guiding us through the menu. We were also here to celebrate our honeymoon and they made us feel extra special. Don't forget to leave room for their famous Hula Pie....it's big enough to share with multiple people!,Danna H.,"Aptos, CA",4.0 star rating
5/17/2017,5.0 star rating,"We had a reservation and were seated on the top deck. We requested for a seat on the lower deck by the water and our server was kind enough to find us a table. 
Food was delicious! We started off with the coconut shrimp which was amazing. For the mains we had the ribs and lobster topped Mahi Mahi. I devoured the ribs in no time. Fish was good and the rice with it was excellent. 
Service was prompt and the views were excellent. The place seemed full, make sure to get a reservation to avoid waiting.",Leon L.,"Redwood City, CA",4.0 star rating
8/4/2017,5.0 star rating,"Our favorite meal thus far on Maui. What a ""hidden gem"". None of my wife and I's friends who have been to Maui had tried this place and some people we'd met around the resort we were staying at (The Grand Wailea) had heard of it. However, at our concierge's suggestion, we decided to give Kimo's a chance.

I had the Kimo's Style Fish. That day's catch was a local snapper-type fish (I forgot the name). Unfortunately, as we dined late, that fish was sold out for the day. The server suggested trying the Maui Maui cooked the same style as the Snapper I was going to order, and I figured ""why not?"".

Boy, was I surprised. It was one of the best fish entree's I've ever had. Not only the fish, but the accompanied flavorful asparagus as we'll as the mildly-spiced rice accompanied the Mahi Fish Filet perfectly.

My wife ordered the lobster, and although I only had a bite of her's, it definitely gave my meal a run for it's money.

A+. If you're visiting Maui, don't leave without making a dinner reservation here.",Joe A.,"Rochester Hills, MI",4.0 star rating
7/19/2017,4.0 star rating,"Kimo's Maui is a perfect date night spot. Not only do you have a fabulous view of the ocean, the atmosphere is fun and romantic without being stuffy. I would highly suggest making reservations but if not, have a seat at the bar while you wait for a table and enjoy amazing cocktails, an appetizer to share (coconut shrimp, please!!) and a gorgeous view of the ocean. The Pacific Paradise is my favorite drink on the menu (who doesn't love a fruity rum filled drink while dining on the beach?) though you can't go wrong with the classic Mai Tai either. Finally, make sure to save room for dessert - their original hula pie is wickedly decadent and a treat your taste buds will worship you for.",Kait C.,"Wailuku, HI",4.0 star rating
8/20/2017,5.0 star rating,"Great food, excellent service and a wonderful view!

The Mrs. And I came here for dinner approximately 30 minutes before sunset (1830). We were greeted by friendly staff and seated upstairs on the deck. The view up there was nice, but not quite as nice as downstairs by the ocean. Fortunately, they opened up the tarp screens upstairs, which improved our view. 

My wife and I start with drinks, the lava flow and the mango colada. Both were delicious! As an appetizer, we started with the poke & avocado stack. We can't go to Hawaii without getting poke, right? It was an excellent starter!

The server was incredibly knowledgeable about fish and greatly helped us narrow down our selection, as we both wanted seafood, but did not know exactly which entrée we wanted. We ended up getting the ""coconut crusted,"" which was the marlin, and the ""lobster topped,"" which used a fish that I can't remember the name of. The marlin had a firm texture, but very sweet flesh.The lobster was much softer, and flakier, with a savory lobster crust. Both were great tasting in their own way, and both came with a delicious side of carrots/broccoli.

We enjoyed our dinner, but unfortunately, we were too full for their signature hula pie. Perhaps we will try this next time

As a tip, I would recommend making reservations scheduled approximately 30 minutes before sunset, and request to be seated by the water downstairs if possible, so that you can enjoy it while seated by the ocean.",Erwin K.,"San Francisco, CA",4.0 star rating
9/6/2017,2.0 star rating,"It's pretty unfortunate that I had to give such a low rating but this is according to my friends experience who I dined in with. We've heard great things about Kimo being from Oahu and having Duke's here and Duke's is phenomenal. 

However, our experience there were not the same as Dukes. My friend ordered the steak and the steak was only the size of a baby's fist (I am not joking. I can post a picture later if needed) and he only received maybe six pieces of potato wedges. In order words the steak and fries were not worth the near 40$. My other friend received her dish and she was lacking vegetables and said the flavor itself was not good and the rice was soggy and disgusting (same as my dish). The other friend said her chicken that she ordered was good at the beginning but the flavors itself was not even distributed and the bottom lacked flavor. 


As for my experience, my dish was pretty spot on and our waitress was nice and friendly; however, I felt as if she saw how displease we were and didn't make any effort to see what was wrong. Being an employee at a 4.5 star restaurant we are taught how to understand another persons displeasures through body language and find a way to see if there's anything we can do to make it better. And again there was a lack of veggies and the rice was not appetizing... honestly it may have killed my appetite when I was eating. 

Overall, the two stars were given because of the waitress friendly demeanor at the beginning and the quick sitting.",David K.,"Honolulu, HI",4.0 star rating
7/11/2017,5.0 star rating,"Considering that this is a bar in a pretty touristy area, this place is pretty great.

Their aloha hour is fantastic and definitely worth going to. You won't be blown away by the food or drink selection. However, it's the perfect place to relax with a beer and appetizers. Get there early to get a table under an umbrella.",John M.,"Los Angeles, CA",4.0 star rating
9/16/2017,5.0 star rating,"I understand this place has 2000 reviews. However I wanted to leave one because (besides the amazing food) our waiter was amazing. His name was Kimo. He was super nice and personable. Sadly he was having to deal with a table next to ours that seemed to be complaining too much and getting stuff for free. Kimo stayed professional with us.  He made our anniversary dinner perfect. 
Obviously. The food was amazing. Everything came out fast and tasted amazing. The drinks were fancy and delicious. We came in knowing how great the food and drinks would be here. But Kimo really made the night special.  
Kimo if you see this or are told about this post. We were the couple who came in Thursday 9/14 and sat at the rail in the corner. You are great! Thank you so much!",Seth C.,"Bellingham, WA",4.0 star rating
7/16/2017,5.0 star rating,"This place is fantastic. The manhattan and cucumber cooler were delicious handcrafted cocktails. For appetizers, we enjoyed the Manila clams and calamari. Both dishes were delightful. For entrees we had the coconut crusted fish of the day and filet mignon. The fish was covered in a peanut Thai sauce and fresh pineapple salsa which complimented each other perfectly. The sides were rice and seasonal veggies. The filet came out a perfect medium rare as ordered, the sides were a fresh kale salad and potato wedges. The dish was seasoned perfectly and covered in a sweet potato purée. If that isn't enough.. we enjoyed a piece of hula pie.. which was possibly the greatest thing in the world. 

The service here was impeccable. The food and drinks were timely and the waitress was very knowledgeable on each dish. This place rocks!",Nick R.,"Phoenix, AZ",4.0 star rating
9/28/2017,5.0 star rating,"I took the wife here for her birthday, so the Hula Pie was free, and big enough for two.  My parmesan crusted Opa (Moonfish) and her lobster topped Monchong (Pomfret) were both perfect and delicious. However the highlight of the meal for me was the Brussel sprout and sweet potato hash.  Sprout halves and yellow/purple sweet potato chunks with Maui onion, red bell pepper, and bacon broiled crisp in a little iron skillet and topped with arugula. Absolutely great! Give it a try even if you don't normally eat Brussel sprouts.  The combo is fantastic.",Wayne F.,"Helotes, TX",4.0 star rating
9/28/2017,4.0 star rating,Was pretty good at lunch. Hamburger was on the menu so when the next evening my wife wanted s burger we returned. Unfortunately no burger on the menu. Did I pay the price for that! My own fault for not checking but it did not look like a dinner restaurant when we there for lunch.,Kevin K.,"Saint Louis, MO",4.0 star rating
9/5/2017,4.0 star rating,"We recently vacationed on Maui and during the week visited Kimo's twice. First was a visit upstairs in dining room. Food was fantastic! I had the special Fish Tacos - a little spicy, super fresh fish, creamy aioli, crispy fresh cabbage - best on Maui! Several friends had other fresh fish dishes for the day that were just as tasty! One of our group had to send her dish back to the kitchen and also had service issues - therefore, the review was marked down from what would have been a 5 to a 4. On the second trip, we sat in the bar area - open seating and we picked a spot close to the water. Again, food was fantastic - I had the Fish Tacos once again! Service down here was also right on point. Great food, great service, great views - don't miss Kimo's in Lahaina when visiting Maui!",Jim V.,"Vail, AZ",4.0 star rating
9/22/2017,5.0 star rating,"We.. every 6 months visit Kimo's for dinner, 2 nights per stay. We can always count on the best fresh, moist, flavorful mahi mahi  here, and one must have the hula pie as well. Ask for a ocean side seat and go at sunset... so romantic and magical, definitely a favorite.",Christina C.,"Los Gatos, CA",4.0 star rating
9/2/2017,5.0 star rating,"My husband and I came to this restaurant to celebrate the last day of our babymoon on Maui. At first, I wasn't sure if we'd been here before because on Front Street, there are so many restaurants with similar oceanfront views...or so I thought.

Our waiter was extremely knowledgeable about the food, how it was sourced, and provided us with recommendations based on what we liked. Even though we took a while to order, we never felt like we had to track him down to get an order placed.

I also appreciated the bar waitress who walked around taking drink orders. They came out timely and were so delicious. I'd recommend the Lava Flow with our without alcohol :) 

As for the food, everything was amazing, delicious, and fresh. I ordered the tofu dish (although I eat meat) thinking it would be a lighter option. Not only was it filling but the flavors hit all the right notes. We also ordered the pork lettuce wraps which were equally as tasty and one the fresh fish dishes. I can honestly say this was a comparable meal to that of Mama's for a little over half the price.",Aniya H.,"Oakland, CA",4.0 star rating
9/14/2017,4.0 star rating,Food was good. Of course the views are amazing right next to the ocean facing the island of Lanai. The piña colada was great. If you are in Lahaina harbor I'd say this is one of the good places in that area. Seating ouside is the best. Good spot for lunch.,Jesica L.,"Sunrise, FL",4.0 star rating
9/25/2017,4.0 star rating,"Kimo's is my favorite spot for Lava Flows and Hula pie. It is located along Front street. Great atmosphere, good quality food and friendly staff. Give Kimo's a try!",Melanie V.,"Sacramento, CA",4.0 star rating
9/24/2017,1.0 star rating,"I would give them zero stars if I could. We made reservations and got there a little early. The hostess said could probably sit us earlier if a table opens up. Not a problem, we got the pager and went to the bar area. Waited 30 mins and saw a bunch of tables around the bar area empty. My husband went to ask if we are getting seated soon since there's open tables. The hostess told my husband that those tables are for drinks only no food dining. Really?!! You seriously lied in our face when we see everyone sitting there ordering food! What a great way to ruin our last day of our honeymoon. I would NOT recommend this restaurant to anyone!",Wendy L.,"San Leandro, CA",4.0 star rating
7/8/2017,2.0 star rating,"We came here with a group of people, the service needs improvement. The waitress was not accommodating at all. At times when a member  from our group would ask for something, I would see her roll her eyes. 

I feel that with that with  big groups, knowing that the tip is going to be included, you should at least put on you B+ game. 

Okay enough with the service, the food was prey good. I had the fish and veggies. It tasted good. I also had ribs for an appetizer and it was pretty good as well.

If it wasn't for the poor service, I'd give it a higher rating....",Caren F.,"Sacramento, CA",4.0 star rating
8/24/2017,5.0 star rating,"Came here tonight based on a few awesome Yelp reviews and a friend's recommendation. I was pleased at the location, we dined right by the water. I ordered the Molokini 14oz prime rib, and it was delicious. I started with the Ahi Poki Avocado stack and a delicious wedge salad. My kids ordered a teriyaki steak and the kids Keiki. The ambience was nice and our server was very accommodating and super sweet. I would definitely recommend Kimo's to friends and family and I would love to come back.",Cherry C.,"Claremont, CA",4.0 star rating
7/6/2017,5.0 star rating,Amazing beachside lunch spot! We were seated outside right next to the ocean under a beach umbrella. Perfect view. Lunch took us about 45 min to an hour. My husband and I both ordered the coconut crusted fish (which was marlin). It was so good. Their strawberry lava flows are also amazing.,Lauren D.,"Irvine, CA",4.0 star rating
8/25/2017,5.0 star rating,"Took my wife here for our anniversary based on all the great reviews on Yelp. Was not disappointed. 

A quick note on the layout. If you are in a large group for dinner, you should expect to be seated further back from the patio / water. 

The upstairs seating configuration is mostly 2 tops along the rail with great sunset views. The downstairs seating is mostly 4-tops along the rail of the patio.

If you happen to get seated upstairs for a sunset dinner, be aware that they have awnings and shade cloth to keep guests from getting too hot. Fear not! About 20 minutes before sunset, the staff will retract the awning and shade cloth so you can have an unobstructed view.

Food? Very good. Had the catch of the day and loved the preparation. My only complaint is that the asparagus was slightly underdone for my taste. 

Drink? The house Mai Tai is outstanding

Dessert? Hula Pie and prepare to share!",Brad R.,"Sunnyvale, CA",4.0 star rating
9/22/2017,5.0 star rating,We stopped in for a nite of lunch and wound up at the best table on the outer deck! The ocean was just a few feet away! A large umbrella shaded us as trade winds kept us cool. We ate burgers and coconut encrusted Mahi. Both were delicious! Didn't want to leave the lovely setting! Try the ice cream pie! It's to die for! No kidding!,Lea C.,"Springdale, AR",4.0 star rating
9/4/2017,4.0 star rating,This was a recommended restaurant from the condo we are staying at.  The steak and salad wedge was just right.  Hubby said the calamari was good but it needed more to make it a meal.  The ambience was superb especially at sunset.  The live music added a nice touch.,Shsron F.,"Francis E. Warren AFB, WY",4.0 star rating
6/21/2017,4.0 star rating,"We enjoyed our evening here.  This is the run down:
-Ambiance - A. I like the seating area on the main deck - very relaxed and amazing views of the sunset
-Service - B+.  Very accommodating of any requests and substitutions on the menu 
-Food - B+. Flavors were pretty good but the portion size on the smaller side esp on the fish dishes for what you pay.  Menu is a bit confusing. I had the shrimp pappardelle which contained about 5 decent sized shrimp.  

All in all a good restaurant on busy front street.  Go for the gorgeous views.  Oh and their drinks are good too. Mai Tai is a must!",Jack R.,"New York, NY",4.0 star rating
7/6/2017,4.0 star rating,"After a very long day of hiking and walking and sightseeing and burning off a million and two calories, we were ready for a killer mud pie.  So, of course, Yelp here we come.
We were close to Kimo's by then so we stopped.  I figured no way at 5:30pm could we get in just for a dessert as the wait for dinner was over an hour.  We walked in and were told we could sit at a ""bar table"" and walked right in!  The bar tables are on the same patio as the dining tables and it was beautiful, right on their lanai, right on the water.  What a beautiful setting.  

I also ordered the kalua pork lettuce wraps pupu, which were great.  Great bbq sauce, a mound of kalua pork.  Pretty healthy, right?

Now bring on the good stuff.... mmmm Hula Pie.  Great stuff.   Mac nut ice cream, oreo crust, chocolate fudge.  And only 1800 calories!   (eek).
Hey, that's why you hike, right?  ;-)",Joe T.,"Temecula, CA",4.0 star rating
6/12/2017,4.0 star rating,"I have a list of go to places and this is one. A trip to Maui, can not be without a stop at Kimo's. 
The food is simple, Polynesian themed and fresh. It is not over hyped or over priced. 

Make sure you ask for an oceanfront table, and wait for one if you have to. Look for a server named Koral she will advise you well. Order some local fish, maybe some pork rib appetizer.  I would pass on the Hula pie and have another tropical drink myself.",Mike M.,"Northbrook, IL",4.0 star rating
9/24/2017,3.0 star rating,"Had crab cakes and calarmi.  Sweet. Lobster sauce over oahpoo. To die for. Ahi tuna tower with avocado.  Yum. Service  first rate.  Very attentive  . PRICEY,  yet.realistic . Fed four  adults and one preteen with champagne, wine , dinner and dessert plus the necessary parts for around 500 bucks. It's about on par  for this level of service.",Scott P.,"Valencia, CA",4.0 star rating
8/1/2017,5.0 star rating,A massive wedge of macadamia nut vanilla ice cream covered in thick chocolate and whipped cream. Do you need another reason to make a late night visit to Kimo's?,J W.,"Lahaina, HI",4.0 star rating
8/4/2017,3.0 star rating,"We have been coming here for years. We were here in April and the food was great! We came last week and the food was WAY too salty. My mouth stung. Also, I can't get over 5 little shrimp for $14.50. That must have been a mistake. I felt insulted. 
We will be back again though for the hula pie!",Jasmine H.,"Dublin, CA",4.0 star rating
8/2/2017,2.0 star rating,"The food and service were good, but the table was terrible. The sun was right on us and despite our obvious discomfort, they didn't offer to move us.

Be careful where they seat you...",Roy R.,"San Jacinto, CA",4.0 star rating
7/9/2017,5.0 star rating,"We went here on the 4th of July, we had booked our table with Open Table about 3 months earlier.  The place was packed but the lines to get in were efficient - those with reservations on the left, those without on the right.  We arrived at the reception desk right at our time and were seated immediately.  The staff were very friendly and considerate.  We were taken care of nicely.

The food was amazing, best calamari I have ever had.  Also the lobster on the sides were so tasty.  We really enjoyed going to Kimo's for this occasion and would recommend it to anyone!",Sunshine B.,"Pittsburg, CA",4.0 star rating
1/14/2017,5.0 star rating,"Been here a couple of times and love this place. Beautiful ocean views and great food. How can you go wrong?

We started with the Kailua pig lettuce wraps which were really good. We ordered the marlin and bone in prime rib. The marlin was spectacular. It was done Asian style with a nice island salsa. We'd definitely get it again. But despite how good the Marlin was the bone in prime rib was about the best we've ever had. Perfect medium rare with a Texas sear on the outside. Over the top good. 

Oh and the hula pie for dessert is a great way to top of a great meal. 

The wait for dinner can be long if you don't have a reservation so call ahead.",Jeff B.,"Lehi, UT",4.0 star rating
8/24/2017,3.0 star rating,"Went here because of the good reviews on yelp. However, it was okay. Expected better. First we wanted to sit close to the ocean, there was an open spot but wasn't cleaned yet. The hostess didn't want to seat us there, no option to wait until it was cleaned.
FOOD - we got the Hawaiian burger and the broke the mouth plate. It was okay, not bad.

View is amazing, you can see the neighboring island and people on boats and parasailing.",Ralph F.,"Kihei, HI",4.0 star rating
12/6/2016,5.0 star rating,"Delicious food and drinks and can't beat that view! Sat upstairs over looking the ocean and we all agreed that their drinks, especially their lava flow's, were the best on our whole week long trip in Maui. 

I ordered the fried chicken sandwich, which was plenty for 2 to share because it had 2 large pieces of fried chicken inside. It came with French fries which were very good. The burger had a nice sauce kick to it because of the aioli sauce. Would recommended any chicken lover to get this dish. Others in my group got the fish n chips, pork ribs, and kimo's baked fish dish and were all pleased.",Kent V.,"Huntington Beach, CA",4.0 star rating
